STATION,NAME,DATE,TAVG,TMAX,TMIN,PRCP,SNOW,CITY_x,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,CITY_y
USW00023183,"PHOENIX AIRPORT, AZ US",2022-11-22,61.0,75.0,48.0,0.0,,Phoenix,3.68,4.06,1.67,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-11-23,59.0,73.0,45.0,0.0,,Phoenix,3.93,3.97,0.72,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-11-24,60.0,71.0,44.0,0.0,,Phoenix,4.12,4.07,0.42,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-11-25,60.0,72.0,44.0,0.0,,Phoenix,4.0,3.95,0.48,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-11-26,56.0,70.0,44.0,0.0,,Phoenix,4.0,3.95,0.47,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-11-27,56.0,69.0,42.0,0.0,,Phoenix,3.97,3.92,0.47,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-11-28,57.0,72.0,47.0,0.0,,Phoenix,3.57,3.8,1.04,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-11-29,57.0,67.0,46.0,0.0,,Phoenix,3.84,3.82,0.52,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-11-30,58.0,73.0,47.0,0.0,,Phoenix,3.66,3.77,0.72,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-01,59.0,70.0,49.0,0.0,,Phoenix,3.31,3.72,1.6,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-02,66.0,82.0,49.0,0.0,,Phoenix,2.86,3.53,1.93,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-03,62.0,77.0,47.0,0.0,,Phoenix,0.73,3.46,0.59,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-04,72.0,75.0,58.0,0.0,,Phoenix,1.39,3.3,1.16,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-05,73.0,86.0,59.0,0.0,,Phoenix,2.77,3.52,0.89,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-06,102.0,113.0,87.0,0.0,,Phoenix,2.85,3.64,1.47,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-07,103.0,112.0,93.0,0.0,,Phoenix,2.62,3.54,1.4,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-08,97.0,106.0,80.0,0.0,,Phoenix,3.61,3.65,0.51,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-09,86.0,96.0,76.0,0.0,,Phoenix,3.74,3.69,0.42,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-10,83.0,95.0,71.0,0.0,,Phoenix,3.66,3.7,0.55,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-11,59.0,74.0,47.0,0.0,,Phoenix,3.7,3.69,0.43,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-12,54.0,61.0,46.0,0.16,,Phoenix,3.1,3.57,0.77,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-13,49.0,55.0,43.0,0.0,,Phoenix,2.98,3.59,0.93,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-14,46.0,56.0,37.0,0.0,,Phoenix,3.68,3.63,0.43,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-15,47.0,56.0,38.0,0.0,,Phoenix,3.53,3.49,0.56,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-16,49.0,59.0,41.0,0.0,,Phoenix,3.06,3.7,1.58,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-17,49.0,61.0,36.0,0.0,,Phoenix,3.76,3.74,0.5,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-18,52.0,61.0,45.0,0.0,,Phoenix,2.26,3.47,1.43,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-19,50.0,63.0,39.0,0.0,,Phoenix,3.7,3.65,0.46,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-20,51.0,64.0,43.0,0.0,,Phoenix,2.6,3.61,1.97,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-21,52.0,66.0,40.0,0.0,,Phoenix,3.6,3.57,0.48,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-22,52.0,65.0,41.0,0.0,,Phoenix,3.41,3.49,0.75,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-23,55.0,68.0,46.0,0.0,,Phoenix,3.55,3.51,0.55,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-24,55.0,71.0,44.0,0.0,,Phoenix,3.55,3.51,0.46,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-25,59.0,74.0,46.0,0.0,,Phoenix,3.53,3.55,0.56,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-26,59.0,74.0,46.0,0.0,,Phoenix,3.25,3.53,1.13,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-27,60.0,72.0,49.0,0.0,,Phoenix,2.54,3.44,1.97,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-28,59.0,63.0,52.0,0.58,,Phoenix,1.31,3.36,0.77,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-29,54.0,62.0,48.0,0.0,,Phoenix,2.07,3.38,1.57,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-30,56.0,60.0,53.0,0.1,,Phoenix,2.09,3.43,1.28,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2022-12-31,57.0,67.0,49.0,0.0,,Phoenix,2.41,3.45,1.61,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-01,58.0,62.0,48.0,0.43,,Phoenix,1.04,3.34,0.75,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-02,54.0,68.0,43.0,0.0,,Phoenix,3.07,3.54,0.98,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-03,57.0,64.0,42.0,0.65,,Phoenix,3.12,3.51,1.01,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-04,65.0,81.0,52.0,0.0,,Phoenix,3.05,3.55,1.27,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-05,87.0,95.0,72.0,0.0,,Phoenix,2.02,3.59,1.66,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-06,80.0,92.0,69.0,0.0,0.0,Phoenix,2.82,3.74,2.04,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-07,98.0,114.0,81.0,0.0,,Phoenix,3.68,3.79,0.75,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-08,97.0,109.0,86.0,0.0,,Phoenix,3.6,3.7,0.83,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-09,87.0,90.0,78.0,0.01,,Phoenix,3.02,3.68,1.73,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-10,81.0,88.0,71.0,0.0,0.0,Phoenix,3.03,3.77,1.58,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-11,71.0,83.0,61.0,0.0,0.0,Phoenix,3.48,3.84,1.28,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-12,57.0,65.0,52.0,0.13,0.0,Phoenix,3.86,3.88,0.62,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-13,62.0,76.0,50.0,0.0,,Phoenix,3.26,3.83,1.97,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-14,59.0,65.0,48.0,0.0,,Phoenix,1.63,3.85,1.33,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-15,56.0,60.0,50.0,0.11,,Phoenix,1.38,3.71,1.11,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-16,55.0,61.0,50.0,0.26,,Phoenix,1.78,3.69,1.29,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-17,55.0,58.0,47.0,0.12,,Phoenix,3.39,3.9,0.82,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-18,51.0,60.0,45.0,0.0,,Phoenix,4.06,4.04,0.53,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-19,50.0,61.0,42.0,0.0,,Phoenix,4.08,4.06,0.62,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-20,51.0,58.0,45.0,0.0,,Phoenix,3.99,4.11,0.7,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-21,48.0,59.0,38.0,0.0,,Phoenix,4.16,4.17,0.57,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-22,49.0,60.0,39.0,0.0,,Phoenix,4.07,4.15,0.9,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-23,47.0,50.0,38.0,0.0,,Phoenix,3.08,4.13,1.51,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-24,44.0,56.0,35.0,0.0,,Phoenix,4.19,4.21,0.62,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-25,47.0,62.0,37.0,0.0,,Phoenix,4.21,4.28,0.6,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-26,51.0,63.0,36.0,0.0,,Phoenix,4.47,4.45,0.52,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-27,51.0,64.0,38.0,0.0,,Phoenix,4.42,4.43,0.58,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-28,51.0,65.0,39.0,0.0,,Phoenix,4.41,4.43,0.6,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-29,53.0,69.0,40.0,0.0,,Phoenix,4.46,4.43,0.55,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-30,55.0,63.0,47.0,0.0,,Phoenix,2.61,4.31,1.52,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-01-31,53.0,64.0,45.0,0.0,,Phoenix,2.77,4.33,1.71,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-01,51.0,58.0,47.0,0.11,,Phoenix,4.53,4.51,0.61,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-02,55.0,68.0,43.0,0.0,,Phoenix,4.67,4.63,0.52,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-03,47.0,54.0,41.0,0.0,,Phoenix,3.1,4.63,2.04,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-04,68.0,82.0,53.0,0.0,,Phoenix,4.74,4.76,0.81,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-05,79.0,92.0,66.0,0.0,,Phoenix,4.81,4.77,0.54,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-06,84.0,95.0,74.0,0.0,0.0,Phoenix,4.71,4.76,0.64,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-07,101.0,115.0,86.0,0.0,,Phoenix,4.93,4.89,0.49,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-08,101.0,111.0,93.0,0.0,,Phoenix,4.79,4.82,0.74,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-09,87.0,99.0,80.0,0.0,,Phoenix,5.1,5.04,0.53,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-10,78.0,88.0,69.0,0.0,0.0,Phoenix,5.15,5.12,0.51,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-11,71.0,87.0,57.0,0.0,0.0,Phoenix,4.48,4.98,1.4,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-12,56.0,66.0,48.0,0.0,0.0,Phoenix,4.43,4.96,1.81,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-13,56.0,59.0,47.0,0.04,,Phoenix,3.39,4.92,1.68,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-14,50.0,57.0,42.0,0.13,,Phoenix,1.7,4.85,1.16,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-15,48.0,55.0,40.0,0.0,,Phoenix,5.24,5.38,0.61,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-16,46.0,59.0,35.0,0.0,,Phoenix,5.45,5.43,0.54,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-17,53.0,66.0,47.0,0.0,,Phoenix,4.02,5.35,3.02,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-18,62.0,73.0,53.0,0.0,,Phoenix,5.06,5.22,1.39,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-19,62.0,75.0,53.0,0.0,,Phoenix,4.65,5.16,1.64,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-20,63.0,76.0,51.0,0.0,,Phoenix,4.98,5.22,1.01,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-21,63.0,68.0,55.0,0.01,,Phoenix,3.86,5.24,1.62,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-22,57.0,60.0,49.0,0.08,,Phoenix,4.52,5.52,1.58,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-23,53.0,61.0,47.0,0.0,,Phoenix,4.12,5.51,1.51,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-24,54.0,68.0,44.0,0.0,,Phoenix,5.39,5.48,0.85,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-25,60.0,76.0,52.0,0.0,,Phoenix,5.32,5.56,1.34,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-26,56.0,59.0,43.0,0.12,,Phoenix,4.73,5.74,1.62,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-27,51.0,65.0,42.0,0.0,,Phoenix,5.83,5.8,0.57,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-02-28,55.0,66.0,43.0,0.0,,Phoenix,5.12,5.72,1.23,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-01,53.0,61.0,49.0,0.0,,Phoenix,2.52,5.66,1.56,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-02,58.0,74.0,44.0,0.0,,Phoenix,4.42,5.89,1.85,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-03,51.0,63.0,43.0,0.0,,Phoenix,5.84,5.9,0.75,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-04,69.0,83.0,54.0,0.0,,Phoenix,5.85,5.93,0.79,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-05,80.0,89.0,68.0,0.0,,Phoenix,4.6,6.14,3.3,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-06,87.0,102.0,75.0,0.0,0.0,Phoenix,5.23,6.08,2.9,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-07,102.0,116.0,87.0,0.0,,Phoenix,4.73,6.17,2.97,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-08,101.0,113.0,92.0,0.0,,Phoenix,5.84,6.26,1.58,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-09,89.0,102.0,80.0,0.0,,Phoenix,4.8,6.18,2.1,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-10,78.0,89.0,68.0,0.0,0.0,Phoenix,5.08,6.05,2.59,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-11,72.0,89.0,59.0,0.0,0.0,Phoenix,3.93,5.93,2.93,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-12,57.0,69.0,47.0,0.0,0.0,Phoenix,6.19,6.23,1.01,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-13,68.0,81.0,57.0,0.0,,Phoenix,6.21,6.28,1.05,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-14,67.0,80.0,55.0,0.0,,Phoenix,4.96,6.24,2.63,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-15,66.0,68.0,55.0,0.74,,Phoenix,1.99,6.09,1.46,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-16,60.0,72.0,53.0,0.06,,Phoenix,5.24,6.43,2.66,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-17,62.0,74.0,53.0,0.0,,Phoenix,6.32,6.6,1.08,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-18,62.0,73.0,51.0,0.0,,Phoenix,6.38,6.62,1.75,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-19,64.0,72.0,55.0,0.0,,Phoenix,3.18,6.29,2.46,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-20,65.0,73.0,56.0,0.0,,Phoenix,4.15,6.49,3.01,Phoenix
