STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT05,WT07,WT08,WT11
USC00048122,"SHAFTER 6 E, CA US",31/07/15,,,,,0,,,,99,60,83,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",01/08/15,,,,,0,,,,99,71,80,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",02/08/15,,,,,0,,,,104,67,78,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",03/08/15,,,,,0,,,,103,63,73,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",04/08/15,,,,,0,,,,95,60,75,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",05/08/15,,,,,0,,,,91,63,67,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",06/08/15,,,,,0,,,,88,67,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",07/08/15,,,,,0,,,,91,66,78,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",08/08/15,,,,,0,,,,94,62,75,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",09/08/15,,,,,0,,,,94,63,75,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",10/08/15,,,,,0,,,,96,64,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",11/08/15,,,,,0,,,,95,61,72,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",12/08/15,,,,,0,,,,92,60,71,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",13/08/15,,,,,0,,,,93,60,71,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",14/08/15,,,,,0,,,,96,61,70,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",15/08/15,,,,,0,,,,93,65,75,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",16/08/15,,,,,0,,,,96,67,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",17/08/15,,,,,0,,,,103,65,80,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",18/08/15,,,,,0,,,,105,67,79,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",19/08/15,,,,,0,,,,103,65,74,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",20/08/15,,,,,0,,,,99,65,71,,,,,,,,,,,,,
